date,exceedance_percentage
2022-08-31,29.032258064516128
2022-09-30,6.666666666666667
2022-10-31,9.67741935483871
2022-11-30,16.666666666666668
2022-12-31,0.0
2023-01-31,0.0
2023-02-28,0.0
2023-03-31,0.0
2023-04-30,0.0
2023-05-31,12.903225806451612
2023-06-30,26.666666666666668
2023-07-31,9.67741935483871
2023-08-31,51.61290322580645
2023-09-30,20.0
2023-10-31,41.935483870967744
2023-11-30,43.333333333333336
2023-12-31,96.7741935483871
2024-01-31,74.19354838709677
2024-02-29,100.0
2024-03-31,25.806451612903224
2024-04-30,3.3333333333333335
2024-05-31,12.903225806451612
2024-06-30,0.0
2024-07-31,12.903225806451612
2024-08-31,0.0
2024-09-30,19.047619047619047
2024-10-31,0.0
2024-11-30,0.0
2024-12-31,
